,doi,bioActivity,collectionSpecie,collectionSite,collectionType,molType,molecularMass,monoisotropicMass,cLogP,tpsa,numberOfLipinskiViolations,numberOfH_bondAcceptors,numberOfH_bondDonors,numberOfRotableBonds,molecularVolume,smile
16,10.1002/ps.478,Insecticidal,Dimorphandra mollis,Rio Claro/SP,Plant Isolated,http://nubbe.db/Flavonoid,"450,3927917","450,1162109","0,01300000027","186,3690033",2,11,7,3,"370,1860046",O([C@H]1[C@H](O)[C@H](O)[C@H]([C@@H](O1)C)O)[C@@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1cc(O)c(cc1)O
17,10.1002/ps.478,Insecticidal,Dimorphandra mollis,Rio Claro/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"450,3927917","450,1162109","0,01300000027","186,3690033",2,11,7,3,"370,1860046",O([C@H]1[C@H](O)[C@H](O)[C@H]([C@@H](O1)C)O)[C@@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1cc(O)c(cc1)O
18,10.1002/ps.478,Insecticidal,Dimorphandra mollis,Rio Claro/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"450,3927917","450,1162109","0,01300000027","186,3690033",2,11,7,3,"370,1860046",O([C@H]1[C@H](O)[C@H](O)[C@H]([C@@H](O1)C)O)[C@@H]1[C@H](Oc2c(C1=O)c(O)cc(c2)O)c1cc(O)c(cc1)O
19,10.1002/1099-1565(200101/02)12:1<64::AID-PCA562>3.0.CO,,,,,,,,,,,,,,,
20,10.1021/np900644x,Inhibition of Acetylcholinesterase,Senna multijuga (Fabaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/PyridineAlkaloid,"291,4284058","291,2198181","4,793000221","50,19100189",0,3,1,11,"308,0280151",OC1=C(N=C(C=C1)CCCCCCC(CCCCC)=O)C
21,10.1021/np900644x,Inhibition of Acetylcholinesterase,Senna multijuga (Fabaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"291,4284058","291,2198181","4,793000221","50,19100189",0,3,1,11,"308,0280151",OC1=C(N=C(C=C1)CCCCCCC(CCCCC)=O)C
22,10.1021/np900644x,Inhibition of Acetylcholinesterase,Senna multijuga (Fabaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/Alkaloid,"291,4284058","291,2198181","4,793000221","50,19100189",0,3,1,11,"308,0280151",OC1=C(N=C(C=C1)CCCCCCC(CCCCC)=O)C
23,10.1021/np900644x,Inhibition of Acetylcholinesterase,Senna multijuga (Fabaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"291,4284058","291,2198181","4,793000221","50,19100189",0,3,1,11,"308,0280151",OC1=C(N=C(C=C1)CCCCCCC(CCCCC)=O)C
24,10.1021/np900644x,Inhibition of Acetylcholinesterase,Senna multijuga (Fabaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/PyridineAlkaloid,"307,4277954","307,2147522","3,263999939","70,41899872",0,4,2,12,"316,2869873",OC1=C(C)N=C(CCCCCCC(CCCCCO)=O)C=C1
25,10.1021/np900644x,Inhibition of Acetylcholinesterase,Senna multijuga (Fabaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"307,4277954","307,2147522","3,263999939","70,41899872",0,4,2,12,"316,2869873",OC1=C(C)N=C(CCCCCCC(CCCCCO)=O)C=C1
26,10.1021/np900644x,Inhibition of Acetylcholinesterase,Senna multijuga (Fabaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/Alkaloid,"307,4277954","307,2147522","3,263999939","70,41899872",0,4,2,12,"316,2869873",OC1=C(C)N=C(CCCCCCC(CCCCCO)=O)C=C1
27,10.1021/np900644x,Inhibition of Acetylcholinesterase,Senna multijuga (Fabaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"307,4277954","307,2147522","3,263999939","70,41899872",0,4,2,12,"316,2869873",OC1=C(C)N=C(CCCCCCC(CCCCCO)=O)C=C1
28,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/Alkaloid,"317,3364868","317,1263123","1,618000031","65,08200073",0,6,0,5,"289,0270081",O=C(N2CCC=CC2=O)/C=C\C1=CC(OC)=C(OC)C(OC)=C1
29,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalCompound,"317,3364868","317,1263123","1,618000031","65,08200073",0,6,0,5,"289,0270081",O=C(N2CCC=CC2=O)/C=C\C1=CC(OC)=C(OC)C(OC)=C1
30,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalSubstance,"317,3364868","317,1263123","1,618000031","65,08200073",0,6,0,5,"289,0270081",O=C(N2CCC=CC2=O)/C=C\C1=CC(OC)=C(OC)C(OC)=C1
31,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/Alkaloid,"317,3364868","317,1263123","1,618000031","65,08200073",0,6,0,5,"289,0270081",COC1=C(OC)C(OC)=CC(/C=C/C(N2CCC=CC2=O)=O)=C1
32,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalCompound,"317,3364868","317,1263123","1,618000031","65,08200073",0,6,0,5,"289,0270081",COC1=C(OC)C(OC)=CC(/C=C/C(N2CCC=CC2=O)=O)=C1
33,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalSubstance,"317,3364868","317,1263123","1,618000031","65,08200073",0,6,0,5,"289,0270081",COC1=C(OC)C(OC)=CC(/C=C/C(N2CCC=CC2=O)=O)=C1
34,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/Alkaloid,"319,3522949","319,1419678","1,588999987","65,08200073",0,6,0,6,"295,2139893",COC1=C(OC)C(OC)=CC(CCC(N2CCC=CC2=O)=O)=C1
35,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalCompound,"319,3522949","319,1419678","1,588999987","65,08200073",0,6,0,6,"295,2139893",COC1=C(OC)C(OC)=CC(CCC(N2CCC=CC2=O)=O)=C1
36,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalSubstance,"319,3522949","319,1419678","1,588999987","65,08200073",0,6,0,6,"295,2139893",COC1=C(OC)C(OC)=CC(CCC(N2CCC=CC2=O)=O)=C1
37,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/Alkaloid,"285,3377075","285,1365051","3,332000017","38,77700043",0,4,0,3,"267,7409973",O=C(N3CCCCC3)/C=C/C=C/C1=CC(OCO2)=C2C=C1
38,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalCompound,"285,3377075","285,1365051","3,332000017","38,77700043",0,4,0,3,"267,7409973",O=C(N3CCCCC3)/C=C/C=C/C1=CC(OCO2)=C2C=C1
39,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalSubstance,"285,3377075","285,1365051","3,332000017","38,77700043",0,4,0,3,"267,7409973",O=C(N3CCCCC3)/C=C/C=C/C1=CC(OCO2)=C2C=C1
40,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/Alkaloid,"287,3534851","287,1521301","3,302999973","38,77700043",0,4,0,4,"273,928009",O=C(N3CCCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1
41,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalCompound,"287,3534851","287,1521301","3,302999973","38,77700043",0,4,0,4,"273,928009",O=C(N3CCCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1
42,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalSubstance,"287,3534851","287,1521301","3,302999973","38,77700043",0,4,0,4,"273,928009",O=C(N3CCCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1
43,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/Alkaloid,"275,342804","275,1521301","3,272000074","47,56600189",0,4,1,6,"267,131012",O=C(N([H])CC(C)C)/C=C/CCC1=CC(OCO2)=C2C=C1
44,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalCompound,"275,342804","275,1521301","3,272000074","47,56600189",0,4,1,6,"267,131012",O=C(N([H])CC(C)C)/C=C/CCC1=CC(OCO2)=C2C=C1
45,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalSubstance,"275,342804","275,1521301","3,272000074","47,56600189",0,4,1,6,"267,131012",O=C(N([H])CC(C)C)/C=C/CCC1=CC(OCO2)=C2C=C1
46,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/Alkaloid,"223,3544006","223,1936188","4,264999866","29,09799957",0,2,1,8,"249,3739929",CCCCC/C=C/C=C/C(N([H])CC(C)C)=O
47,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalCompound,"223,3544006","223,1936188","4,264999866","29,09799957",0,2,1,8,"249,3739929",CCCCC/C=C/C=C/C(N([H])CC(C)C)=O
48,10.1016/S0031-9422(00)00226-0,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalSubstance,"223,3544006","223,1936188","4,264999866","29,09799957",0,2,1,8,"249,3739929",CCCCC/C=C/C=C/C(N([H])CC(C)C)=O
49,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/Alkaloid,"273,3269958","273,1365051","2,798000097","38,77700043",0,4,0,4,"257,1260071",O=C(N3CCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1
50,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"273,3269958","273,1365051","2,798000097","38,77700043",0,4,0,4,"257,1260071",O=C(N3CCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1
51,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"273,3269958","273,1365051","2,798000097","38,77700043",0,4,0,4,"257,1260071",O=C(N3CCCC3)/C=C/CCC1=CC(OCO2)=C2C=C1
52,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/Alkaloid,"301,3800964","301,1677856","3,790999889","47,56600189",0,4,1,7,"294,5480042",O=C(N([H])CC(C)C)\C=C/C=C\CCC1=CC=C2C(OCO2)=C1
53,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"301,3800964","301,1677856","3,790999889","47,56600189",0,4,1,7,"294,5480042",O=C(N([H])CC(C)C)\C=C/C=C\CCC1=CC=C2C(OCO2)=C1
54,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"301,3800964","301,1677856","3,790999889","47,56600189",0,4,1,7,"294,5480042",O=C(N([H])CC(C)C)\C=C/C=C\CCC1=CC=C2C(OCO2)=C1
55,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/Alkaloid,"275,2998047","275,1157532","2,112999916","48,01100159",0,5,0,3,"249,0679932",COC1=C(/C=C\C(N3CCCC3)=O)C=C(OCO2)C2=C1
56,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"275,2998047","275,1157532","2,112999916","48,01100159",0,5,0,3,"249,0679932",COC1=C(/C=C\C(N3CCCC3)=O)C=C(OCO2)C2=C1
57,10.1016/S0031-9422(00)00226-0,Antifungal,Piper hispidum (Piperaceae),Teodoro Sampaio/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"275,2998047","275,1157532","2,112999916","48,01100159",0,5,0,3,"249,0679932",COC1=C(/C=C\C(N3CCCC3)=O)C=C(OCO2)C2=C1
58,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/Alkaloid,"247,2897034","247,1208496","2,782000065","47,56600189",0,4,1,4,"233,5269928",O=C(N([H])CC(C)C)/C=C/C1=CC(OCO2)=C2C=C1
59,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"247,2897034","247,1208496","2,782000065","47,56600189",0,4,1,4,"233,5269928",O=C(N([H])CC(C)C)/C=C/C1=CC(OCO2)=C2C=C1
60,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"247,2897034","247,1208496","2,782000065","47,56600189",0,4,1,4,"233,5269928",O=C(N([H])CC(C)C)/C=C/C1=CC(OCO2)=C2C=C1
61,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/Phenylpropanoid,"252,2631073","252,0997772","2,157000065","54,00699997",0,5,0,6,"232,6269989",COC1=C(OC)C(OC)=CC(/C=C/C(OC)=O)=C1
62,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"252,2631073","252,0997772","2,157000065","54,00699997",0,5,0,6,"232,6269989",COC1=C(OC)C(OC)=CC(/C=C/C(OC)=O)=C1
63,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"252,2631073","252,0997772","2,157000065","54,00699997",0,5,0,6,"232,6269989",COC1=C(OC)C(OC)=CC(/C=C/C(OC)=O)=C1
64,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/Alkaloid,"271,3110962","271,1208496","2,826999903","38,77700043",0,4,0,3,"250,9389954",O=C(N3CCCC3)/C=C/C=C/C1=CC=C2C(OCO2)=C1
65,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"271,3110962","271,1208496","2,826999903","38,77700043",0,4,0,3,"250,9389954",O=C(N3CCCC3)/C=C/C=C/C1=CC=C2C(OCO2)=C1
66,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"271,3110962","271,1208496","2,826999903","38,77700043",0,4,0,3,"250,9389954",O=C(N3CCCC3)/C=C/C=C/C1=CC=C2C(OCO2)=C1
67,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/Alkaloid,"275,342804","275,1521301","3,053999901","38,77700043",0,4,0,5,"263,3129883",O=C(N3CCCC3)CCCCC1=CC=C2C(OCO2)=C1
68,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"275,342804","275,1521301","3,053999901","38,77700043",0,4,0,5,"263,3129883",O=C(N3CCCC3)CCCCC1=CC=C2C(OCO2)=C1
69,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"275,342804","275,1521301","3,053999901","38,77700043",0,4,0,5,"263,3129883",O=C(N3CCCC3)CCCCC1=CC=C2C(OCO2)=C1
70,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/Alkaloid,"271,3110962","271,1208496","2,826999903","38,77700043",0,4,0,3,"250,9389954",O=C(N3CCCC3)/C=C/C=C\C1=CC=C2C(OCO2)=C1
71,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"271,3110962","271,1208496","2,826999903","38,77700043",0,4,0,3,"250,9389954",O=C(N3CCCC3)/C=C/C=C\C1=CC=C2C(OCO2)=C1
72,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"271,3110962","271,1208496","2,826999903","38,77700043",0,4,0,3,"250,9389954",O=C(N3CCCC3)/C=C/C=C\C1=CC=C2C(OCO2)=C1
73,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"448,5954895","448,2937317","2,644999981","115,7229996",0,7,4,12,"452,8469849",CC(O)/C=C/C(C)=C/C(NCC(C(C(CNC(/C=C(C)/C=C/C(O)C)=O)(C)C)=O)(C)C)=O
74,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"448,5954895","448,2937317","2,644999981","115,7229996",0,7,4,12,"452,8469849",CC(O)/C=C/C(C)=C/C(NCC(C(C(CNC(/C=C(C)/C=C/C(O)C)=O)(C)C)=O)(C)C)=O
75,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/PyrrolidineAlkaloid,"273,3269958","273,1365051","2,798000097","38,77700043",0,4,0,4,"257,1260071",O=C(N3CCCC3)/C=C/CCC1=CC=C2C(OCO2)=C1
76,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalCompound,"273,3269958","273,1365051","2,798000097","38,77700043",0,4,0,4,"257,1260071",O=C(N3CCCC3)/C=C/CCC1=CC=C2C(OCO2)=C1
77,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/ChemicalSubstance,"273,3269958","273,1365051","2,798000097","38,77700043",0,4,0,4,"257,1260071",O=C(N3CCCC3)/C=C/CCC1=CC=C2C(OCO2)=C1
78,10.1016/S0031-9422(01)00431-9,Antifungal,Piper arboreum (Piperaceae),Araraquara/SP,Plant Isolated,http://nubbe.db/Alkaloid,"273,3269958","273,1365051","2,798000097","38,77700043",0,4,0,4,"257,1260071",O=C(N3CCCC3)/C=C/CCC1=CC=C2C(OCO2)=C1
79,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/Phenylpropanoid,"254,279007","254,1154175","1,820000052","54,00699997",0,5,0,7,"238,8130035",COC1=C(OC)C(OC)=CC(CCC(OC)=O)=C1
80,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalCompound,"254,279007","254,1154175","1,820000052","54,00699997",0,5,0,7,"238,8130035",COC1=C(OC)C(OC)=CC(CCC(OC)=O)=C1
81,10.1016/S0031-9422(01)00431-9,Antifungal,Piper tuberculatum (Piperaceae),Manaus/AM,Plant Isolated,http://nubbe.db/ChemicalSubstance,"254,279007","254,1154175","1,820000052","54,00699997",0,5,0,7,"238,8130035",COC1=C(OC)C(OC)=CC(CCC(OC)=O)=C1
82,10.1007/s00044-008-9161-9,,,,,,,,,,,,,,,
83,10.1002/chir.20676,,,,,,,,,,,,,,,
84,10.1016/j.tetasy.2010.09.004,,,,,,,,,,,,,,,
85,10.1055/s-0029-1185364,Antitrypanosomal,Peperomia obtusifolia (Piperaceae),Pocos De Caldas/MG,Plant Isolated,http://nubbe.db/Chromane,"326,4724121","326,2245789","7,050000191","29,46199989",1,2,1,4,"338,730011",CC1=C(C/C=C(C)/C)C(O)=C2C(OC(/C=C/C=C(C)/C)(C)CC2)=C1
86,10.1055/s-0029-1185364,Antitrypanosomal,Peperomia obtusifolia (Piperaceae),Pocos De Caldas/MG,Plant Isolated,http://nubbe.db/ChemicalCompound,"326,4724121","326,2245789","7,050000191","29,46199989",1,2,1,4,"338,730011",CC1=C(C/C=C(C)/C)C(O)=C2C(OC(/C=C/C=C(C)/C)(C)CC2)=C1
87,10.1055/s-0029-1185364,Antitrypanosomal,Peperomia obtusifolia (Piperaceae),Pocos De Caldas/MG,Plant Isolated,http://nubbe.db/ChemicalSubstance,"326,4724121","326,2245789","7,050000191","29,46199989",1,2,1,4,"338,730011",CC1=C(C/C=C(C)/C)C(O)=C2C(OC(/C=C/C=C(C)/C)(C)CC2)=C1
88,10.1055/s-0029-1185364,Antitrypanosomal,Peperomia obtusifolia (Piperaceae),Pocos De Caldas/MG,Plant Isolated,http://nubbe.db/AromaticDerivative,"326,4724121","326,2245789","7,050000191","29,46199989",1,2,1,4,"338,730011",CC1=C(C/C=C(C)/C)C(O)=C2C(OC(/C=C/C=C(C)/C)(C)CC2)=C1
89,10.1055/s-0029-1185364,Antitrypanosomal,Peperomia obtusifolia (Piperaceae),Pocos De Caldas/MG,Plant Isolated,http://nubbe.db/Lignoid,"430,4476929","430,1627808","3,217000008","73,87200165",0,8,0,6,"378,7640076",COC1=C(OCO4)C4=C[C@]([C@H]3[C@@]2([H])CO[C@H]([C@@]5=CC(OC)=C(OC)C(OC)=C5)[C@]([H])2CO3)=C1
90,10.1055/s-0029-1185364,Antitrypanosomal,Peperomia obtusifolia (Piperaceae),Pocos De Caldas/MG,Plant Isolated,http://nubbe.db/ChemicalCompound,"430,4476929","430,1627808","3,217000008","73,87200165",0,8,0,6,"378,7640076",COC1=C(OCO4)C4=C[C@]([C@H]3[C@@]2([H])CO[C@H]([C@@]5=CC(OC)=C(OC)C(OC)=C5)[C@]([H])2CO3)=C1
